Rack	Pos	Barcode	Origin	Exp	Trt	PopID	CrossNum	Indiv	LfCount1	LfLgth1	LfWdth1	LfCountH	LfLgthH	LfWdthH	MaxBoltHtH	FlrHeadCount	MsrHarvest2	LfCount2	LfLgth2	LfWdth2	BoltDate	FlwrDate	FlwrCol	SLAmass.g	SLAarea	SLAdate	HarvestDay	BoltDay	MsrHarvest	MsrHarvest3	DeathDay	WiltDay	TotWiltDay
1	6	1	BG001-14-2	nat	mat fx	control	BG001	14	2	17	13.6	3.5	15	18.7	3.2	19.5	NA	2010-10-19	19	13.7	3.8	10/8/2010			0.117	18.685	10/19/2010	84	73	NA	NA	NA	NA	NA
2	6	3	BG001-18-6	nat	mat fx	control	BG001	18	6	18	12.1	3.5	4	23	5.3	26.3	30	2010-10-19	21	17.4	3.8	9/30/2010			NA	NA	10/19/2010	84	65	NA	NA	NA	NA	NA
3	6	5	BG001-17-9	nat	mat fx	control	BG001	17	9	26	7.4	2	39	20.1	4.8	NA	NA	2010-10-19	35	14.6	3.3				0.064	11.473	10/19/2010	84	NA	NA	NA	NA	NA	NA
4	6	7	CA001-9-31	inv	mat fx	control	CA001	9	31	11	18.3	4.2	16	21.5	5.2	NA	NA	2010-10-19	14	18.7	4.8				0.192	24.389	10/19/2010	84	NA	NA	NA	NA	NA	NA
5	6	9	RU008-1-2	nat	mat fx	control	RU008	1	2	15	16.1	3.2	16	25.8	4.5	NA	NA	2010-10-19	22	19.1	5.7				0.155	24.613	10/19/2010	84	NA	NA	NA	NA	NA	NA
6	6	10	US003-3-10	inv	mat fx	control	US003	3	10	14	14.1	3.7	21	24.1	5	NA	NA	2010-10-19	18	15.1	3.8				0.125	20.214	10/19/2010	84	NA	NA	NA	NA	NA	NA
7	6	12	CA001-14-1	inv	mat fx	control	CA001	14	1	14	12.7	2.6	18	26.4	4.8	NA	NA	2010-10-19	13	12.6	5				0.188	25.611	10/19/2010	84	NA	NA	NA	NA	NA	NA
8	6	16	US002-6-4	inv	mat fx	control	US002	6	4	15	15	3.4	23	24.1	6.1	NA	NA	2010-10-19	12	20.5	6.5				0.145	31.653	10/19/2010	84	NA	NA	NA	NA	NA	NA
9	6	18	SAND-1-9	SK	mat fx	control	SAND	1	9	13	23.6	7.4	14	31.8	9.7	NA	NA	2010-10-19	17	26.2	8.3				0.271	39.621	10/19/2010	84	NA	NA	NA	NA	NA	NA
10	6	20	US001-6-3	inv	mat fx	control	US001	6	3	14	20.2	4.3	19	31.6	6.4	NA	NA	2010-10-19	15	20.8	5.2				0.16	28.432	10/19/2010	84	NA	NA	NA	NA	NA	NA
